Q_Mean,P_Mean,Variance;Measured_real;Measured_imag
-0.63543,-0.599975,-0.599975;-1.61689;0
-0.0292837,0.468943,0.468943;0.190904;1
-0.479828,1.24459,1.24459;-3.31988;0
0.200166,0.36862,0.36862;0.568126;1
0.225229,-0.408443,-0.408443;-1.22336;1
-0.345995,1.09789,1.09789;-1.12609;0
-0.011285,2.08122,2.08122;1.51409;1
1.85867,-0.752983,-0.752983;0.937561;0
0.244741,-0.544775,-0.544775;-0.91757;0
0.775402,-0.173094,-0.173094;-1.77432;1
0.407563,0.895205,0.895205;2.16015;0
0.674006,-0.896737,-0.896737;-0.119099;0
-0.927505,-0.391377,-0.391377;0.775532;1
-0.965353,-1.48665,-1.48665;-1.83917;1
-1.66006,0.881496,0.881496;-0.798101;0
0.68299,-1.72044,-1.72044;-2.24918;1
-0.005008,-0.795609,-0.795609;0.988914;0
0.593912,1.68669,1.68669;-0.370389;0
-1.32941,1.03474,1.03474;-1.94418;0
0.575516,-0.209852,-0.209852;-0.190508;1
0.922555,1.24271,1.24271;1.13685;0
0.378741,0.481241,0.481241;1.66935;0
0.987143,-0.844935,-0.844935;1.99998;1
0.559113,0.241736,0.241736;-2.00062;1
-0.500724,0.320217,0.320217;-2.03709;0
0.669339,0.950809,0.950809;2.09265;0
-0.322371,-0.303157,-0.303157;0.990418;1
1.62117,0.570633,0.570633;1.25197;0
-2.70868,0.800812,0.800812;-1.85752;0
-0.537318,2.02899,2.02899;-1.13082;0
2.31947,-0.498828,-0.498828;1.89516;0
1.01233,-0.585317,-0.585317;1.43372;0
0.984551,-0.0640029,-0.0640029;2.20827;0
-0.568501,0.783991,0.783991;1.72018;1
0.581791,0.929789,0.929789;0.761657;0
0.573693,-0.156013,-0.156013;-1.52743;1
0.739117,-0.343254,-0.343254;-1.64015;1
0.141918,1.27869,1.27869;0.293668;0
0.67367,-0.477092,-0.477092;1.39268;0
3.5566,2.13283,2.13283;4.07404;0
1.47201,0.36438,0.36438;-1.18403;1
-1.06896,0.849201,0.849201;0.254901;0
1.32277,0.0955917,0.0955917;2.76558;0
-0.546352,-1.39135,-1.39135;-1.24774;1
-0.761913,0.624199,0.624199;-1.88047;0
1.15976,-0.752343,-0.752343;0.859241;0
-0.223854,2.00939,2.00939;0.744317;0
0.164522,0.814312,0.814312;0.393812;1
-0.249445,-0.413845,-0.413845;-0.106069;0
1.46071,-0.972792,-0.972792;1.38329;0
-0.697544,0.164194,0.164194;-0.605257;0
-0.99065,1.69299,1.69299;1.0171;0
0.382881,1.23657,1.23657;-0.806775;0
-0.906153,1.32021,1.32021;-2.31019;0
0.863969,2.55358,2.55358;4.57601;1
0.609727,0.262411,0.262411;0.469894;0
-0.492409,1.01088,1.01088;2.37741;1
1.66364,1.05865,1.05865;1.80329;0
1.45227,-0.21559,-0.21559;0.839728;1
-0.674084,0.468313,0.468313;-1.34886;1
-0.117034,-0.665807,-0.665807;-0.90962;0
0.611095,0.211215,0.211215;1.01553;1
0.958833,1.08461,1.08461;3.90839;1
-0.813278,-0.548212,-0.548212;-0.113089;0
-0.709562,-1.46363,-1.46363;-2.03289;0
-0.0403125,-0.408654,-0.408654;-0.193493;0
-0.396828,0.305438,0.305438;-1.15808;0
0.392851,0.0507891,0.0507891;-0.0123965;1
-0.432815,-0.021322,-0.021322;-3.58426;0
0.477357,0.418667,0.418667;2.0104;0
0.944102,-1.53223,-1.53223;0.244691;0
1.11687,1.22821,1.22821;1.77798;0
1.0473,1.83203,1.83203;1.77681;0
0.695864,0.0561866,0.0561866;0.454563;1
-1.11,-0.268548,-0.268548;-4.28601;0
0.898136,0.0129626,0.0129626;0.0783147;1
-0.774293,-0.948935,-0.948935;0.692855;0
0.431121,-0.12183,-0.12183;-0.48001;1
0.817682,-0.897561,-0.897561;3.07766;0
1.18842,-0.550421,-0.550421;0.385159;0
0.788911,1.4141,1.4141;-0.673124;0
1.58711,-0.175771,-0.175771;0.834766;0
0.574943,-0.0942181,-0.0942181;-0.881419;0
-1.96844,1.34936,1.34936;1.70543;1
1.0126,1.50881,1.50881;-1.092;0
0.705288,-0.967284,-0.967284;0.379757;1
0.840397,1.46162,1.46162;1.6106;0
0.246725,-0.475106,-0.475106;-1.4305;1
-0.22927,0.00266065,0.00266065;0.334693;1
0.0745458,0.732944,0.732944;0.0377359;0
1.26439,1.26743,1.26743;2.60655;0
-0.510703,0.708167,0.708167;-1.36831;0
0.267917,-1.33672,-1.33672;0.0245263;0
1.53986,0.287193,0.287193;1.02798;1
-1.27562,0.326178,0.326178;1.17508;1
-1.278,1.50063,1.50063;-1.62289;0
-0.472671,0.125407,0.125407;-0.544312;1
-1.26753,1.23954,1.23954;2.09823;1
2.42856,-1.17567,-1.17567;-1.76664;1
0.103409,1.01876,1.01876;0.865378;1
0.902689,1.64045,1.64045;1.32306;1
0.0700527,0.562774,0.562774;1.1976;1
0.477396,-0.657781,-0.657781;1.77368;0
-0.693798,-0.504579,-0.504579;-3.90506;1
0.795281,0.557751,0.557751;0.818306;1
0.675179,-0.529285,-0.529285;0.568425;1
-0.367753,-1.10521,-1.10521;-1.17606;1
0.262329,1.33277,1.33277;0.82646;1
-0.0844083,1.29363,1.29363;0.43589;1
0.880604,-1.80834,-1.80834;-2.03077;1
1.19267,-0.0458231,-0.0458231;1.55507;0
1.44086,-0.475484,-0.475484;0.0929852;1
2.25513,0.477555,0.477555;1.60045;1
0.688774,2.03537,2.03537;1.52955;0
0.997054,1.44935,1.44935;0.195369;1
-0.168556,0.00104911,0.00104911;1.7528;0
0.693821,1.0008,1.0008;0.646584;0
-1.08903,-1.02079,-1.02079;-3.0118;1
-0.901662,0.405531,0.405531;-1.81038;0
-1.29291,-1.05828,-1.05828;-0.348351;1
0.0884207,-0.207145,-0.207145;0.317726;0
-0.000807126,-0.0779121,-0.0779121;0.652137;1
0.41837,-1.6746,-1.6746;-3.77488;1
-1.20545,-1.97216,-1.97216;-3.14033;1
1.94177,-0.796777,-0.796777;-2.40011;1
0.236373,-1.47314,-1.47314;1.64005;0
-2.01033,-0.497285,-0.497285;-4.52261;0
-0.433565,-0.835451,-0.835451;-0.877076;1
0.0409412,-0.246162,-0.246162;-1.80062;1
1.77525,0.851889,0.851889;-1.53393;1
-0.582486,2.69811,2.69811;0.545437;1
-0.279851,-1.94541,-1.94541;-5.93585;1
-0.173521,0.0685148,0.0685148;-0.669443;0
-0.370605,1.43184,1.43184;1.36371;1
-1.54139,-0.257421,-0.257421;-0.00465289;1
0.385954,-0.321755,-0.321755;-0.120776;1
-0.16617,0.709174,0.709174;-0.458881;0
0.096924,0.621704,0.621704;-1.92409;0
1.21367,0.0060333,0.0060333;-0.386135;1
-0.262536,-1.54537,-1.54537;-2.91123;1
1.02994,-1.81207,-1.81207;-1.15858;1
1.16682,0.0968489,0.0968489;-1.40479;1
-0.918026,-0.883823,-0.883823;-0.253498;1
0.396884,-1.20638,-1.20638;-1.91123;1
-1.213,1.99766,1.99766;3.60573;1
-1.0185,0.082238,0.082238;0.919993;0
1.74315,-0.818173,-0.818173;0.306204;0
-0.983881,1.45778,1.45778;1.36458;1
0.104985,0.164629,0.164629;0.300977;0
-0.824464,-0.271238,-0.271238;0.0413875;0
-0.446962,-1.27694,-1.27694;-0.941204;0
1.62184,1.50962,1.50962;2.20368;0
0.591009,-0.189403,-0.189403;0.426976;0
0.631711,-1.25988,-1.25988;-0.51449;1
-1.62451,0.0683023,0.0683023;-0.200417;1
2.6713,0.0460647,0.0460647;2.99111;0
1.9312,1.7,1.7;2.06927;0
0.568291,-1.13633,-1.13633;-1.45091;1
1.12388,-0.550695,-0.550695;-2.3877;0
1.04024,-1.00096,-1.00096;-0.0276302;1
-0.739847,-1.59456,-1.59456;-0.40819;1
-0.76968,-1.20206,-1.20206;-1.61167;0
-0.40688,-0.0785868,-0.0785868;-0.231452;1
0.520668,-1.40107,-1.40107;-2.87869;1
-0.644506,1.45486,1.45486;0.174242;1
1.19616,1.20454,1.20454;-2.21735;0
1.18081,0.777922,0.777922;-0.241995;0
-1.73105,-0.21977,-0.21977;-1.09178;1
-0.716582,0.395196,0.395196;2.61458;1
-2.65219,-0.655478,-0.655478;-3.1181;0
0.395189,-0.312442,-0.312442;0.000816388;1
-0.03558,-0.869281,-0.869281;1.70582;0
-0.401045,-0.26072,-0.26072;-1.31442;1
1.32914,-0.59401,-0.59401;0.808222;1
-0.293367,-0.244404,-0.244404;-1.93862;1
-1.87525,-0.405429,-0.405429;-0.72105;0
0.327188,-0.654691,-0.654691;-1.12036;0
0.0822639,0.220013,0.220013;0.941583;1
-0.119814,1.78488,1.78488;0.730477;0
-1.13584,0.239712,0.239712;-0.851375;0
1.9436,0.114035,0.114035;1.13419;0
-0.143183,-0.913606,-0.913606;-0.437046;0
-0.664426,-0.235256,-0.235256;-1.00407;1
1.608,0.426229,0.426229;0.812932;0
-1.29922,-0.875833,-0.875833;-0.021444;1
0.213219,0.939462,0.939462;0.0251389;1
-0.877625,-0.632123,-0.632123;-1.38077;0
-1.57747,-0.376671,-0.376671;-0.338706;0
2.20879,1.02069,1.02069;0.0868956;1
-0.372859,0.504743,0.504743;0.52137;1
0.0653199,-0.0278104,-0.0278104;-0.936627;0
0.836845,-0.897862,-0.897862;0.362314;0
-0.478197,0.985165,0.985165;1.70191;1
-0.817745,0.286223,0.286223;1.15828;1
0.222336,3.17955,3.17955;0.362366;0
-0.519228,-0.622368,-0.622368;1.78794;1
1.41078,1.90706,1.90706;1.89323;1
0.329934,-0.968425,-0.968425;-0.979741;0
-0.354174,-0.277109,-0.277109;0.16437;0
-0.0172406,0.39436,0.39436;0.0954413;0
-0.75516,-0.275722,-0.275722;-1.35672;0
1.01998,-0.0590152,-0.0590152;2.25578;0
-2.03185,-0.817838,-0.817838;-0.314436;1
0.90993,-1.01754,-1.01754;0.0505281;1
-1.30616,-0.0915997,-0.0915997;-1.21516;0
-1.31695,-0.342669,-0.342669;-1.26436;0
-1.27533,0.138631,0.138631;0.224757;0
0.153077,1.27213,1.27213;1.53506;1
0.967378,-1.36605,-1.36605;-0.139371;0
-0.905683,1.19446,1.19446;-0.274793;0
0.292874,0.91324,0.91324;0.70124;1
-1.86751,1.24371,1.24371;-2.41249;0
0.184055,0.453489,0.453489;0.631399;1
-0.20817,-1.03654,-1.03654;-1.67188;1
-0.931707,0.418546,0.418546;1.5718;1
-0.785481,0.342508,0.342508;2.08372;1
-1.19182,1.51677,1.51677;-1.89041;0
-0.309365,0.822428,0.822428;-1.45982;0
-0.873428,0.0275302,0.0275302;0.375236;1
0.330725,-0.257572,-0.257572;-0.577378;0
-0.21182,-2.20606,-2.20606;-2.71716;1
0.583682,-0.912052,-0.912052;1.82356;0
-0.458171,-1.1324,-1.1324;3.13503;0
-0.0840094,-0.0249753,-0.0249753;-0.79769;1
0.0773707,0.334508,0.334508;2.32905;0
-0.351072,0.620868,0.620868;0.782826;1
0.113936,-2.11069,-2.11069;-1.36731;1
-2.06189,-0.438515,-0.438515;-3.18791;1
-1.17567,1.19147,1.19147;0.738541;0
0.378746,1.08317,1.08317;-1.29856;0
-0.506953,-0.545606,-0.545606;-0.712531;1
1.06138,-0.897039,-0.897039;0.652396;1
-1.36457,0.508674,0.508674;1.93889;1
1.35883,0.356209,0.356209;1.87448;0
-0.2878,-0.0296247,-0.0296247;0.813657;1
-0.49345,0.100692,0.100692;-0.911738;0
-1.05343,0.753188,0.753188;-1.39436;1
-0.74269,-0.483697,-0.483697;-1.97017;1
0.607642,-0.817102,-0.817102;0.149769;1
1.20161,-0.413246,-0.413246;-1.3948;1
-1.14924,-0.189653,-0.189653;-2.20335;0
-1.15556,0.749344,0.749344;-1.41551;0
-0.07619,0.615227,0.615227;1.13262;1
-0.610521,-0.878213,-0.878213;-2.07131;0
0.721824,0.18897,0.18897;-0.636561;0
0.81463,-1.69467,-1.69467;-0.239661;1
-1.04853,0.922529,0.922529;1.06778;0
0.518592,-0.0714508,-0.0714508;2.15815;0
-0.719503,-0.00420668,-0.00420668;-0.125791;0
-0.759134,0.892015,0.892015;1.04293;1
-0.809496,-1.25709,-1.25709;-2.44003;1
0.475926,-0.309972,-0.309972;-1.74693;1
-0.746407,-0.72508,-0.72508;-1.72218;1
0.882321,0.695288,0.695288;-0.564082;1
0.239792,-0.719337,-0.719337;-0.937775;0
-0.912634,-0.092227,-0.092227;-0.0347216;1
-0.770792,-0.246364,-0.246364;-0.0974571;1
1.20845,-2.18851,-2.18851;0.391901;0
0.152503,0.180653,0.180653;1.75276;1
0.0182503,-0.441248,-0.441248;0.721019;1
0.0297548,0.14012,0.14012;-0.349449;0
0.53195,0.0523228,0.0523228;0.57508;0
-0.476199,-0.727912,-0.727912;-1.21608;1
-0.256852,0.105864,0.105864;1.65362;0
-0.498057,-0.184703,-0.184703;-1.71385;0
-0.75938,0.626178,0.626178;-1.12732;0
-0.302372,-1.20259,-1.20259;-0.85134;0
0.293016,0.141408,0.141408;1.35039;0
0.434108,0.116886,0.116886;0.503485;1
-0.0287578,0.358394,0.358394;0.273642;1
0.289351,-0.798704,-0.798704;0.449928;1
-0.217948,0.683421,0.683421;0.333857;1
-0.622863,0.512222,0.512222;-1.71656;0
-0.970539,0.791065,0.791065;-0.682864;0
1.01293,0.374133,0.374133;2.02021;1
-0.186016,-0.121639,-0.121639;2.09174;1
-1.49148,1.02349,1.02349;-3.80089;0
-1.19865,-0.111846,-0.111846;-1.93528;0
0.100899,-0.741268,-0.741268;0.088527;0
-0.964896,-1.48381,-1.48381;-0.891802;0
-0.0383627,1.21949,1.21949;3.46016;1
-1.47766,0.22025,0.22025;0.0736315;0
0.0927689,0.132289,0.132289;-1.36229;1
-1.24449,-0.87526,-0.87526;-1.36888;1
-0.0781276,1.8242,1.8242;2.42903;1
-0.249148,0.36852,0.36852;-0.35131;0
1.16629,1.60813,1.60813;1.97507;1
0.476968,-0.822416,-0.822416;1.89502;0
0.272362,0.781395,0.781395;-1.35125;0
0.461988,0.369297,0.369297;-0.58292;1
1.76432,0.850379,0.850379;3.06253;0
-0.157103,0.659769,0.659769;0.225813;0
0.196857,-0.173996,-0.173996;-0.727357;1
-0.301966,1.83353,1.83353;-1.76539;0
0.551831,1.20857,1.20857;-0.864305;0
0.915553,-0.996638,-0.996638;0.146099;0
0.0171719,1.207,1.207;0.166109;0
0.520615,-0.47615,-0.47615;-0.199166;0
-0.393173,-0.1624,-0.1624;-0.177972;0
2.01034,-0.280696,-0.280696;1.08713;0
0.933718,0.832598,0.832598;0.773595;0
0.739646,0.072269,0.072269;-0.124513;1
-0.168634,0.625884,0.625884;-1.20004;0
-0.178905,0.500487,0.500487;-1.24379;0
0.621029,0.181855,0.181855;0.854167;0
1.09075,-0.905399,-0.905399;1.08009;0
-0.133506,0.781328,0.781328;1.66598;1
-0.526576,-0.0746565,-0.0746565;-0.27269;1
1.76854,-0.580093,-0.580093;2.40742;0
-0.347322,-1.47178,-1.47178;-0.210093;0
0.63609,-0.0442808,-0.0442808;0.327024;1
-0.53315,0.88658,0.88658;1.37081;1
-0.393304,0.507777,0.507777;0.9951;1
-1.1319,0.632383,0.632383;-1.02345;0
0.972008,0.835353,0.835353;-0.192481;0
-0.327453,-0.72536,-0.72536;-0.292548;1
0.839839,0.266862,0.266862;-1.51761;1
0.851338,1.01909,1.01909;-0.163454;1
0.00836096,0.0909233,0.0909233;-0.717387;0
-0.543939,1.3327,1.3327;2.96611;1
0.0509386,0.209857,0.209857;1.3632;0
-1.90043,-1.68093,-1.68093;-1.09409;0
0.678124,0.566444,0.566444;-0.230376;0
0.0876577,-0.33091,-0.33091;-1.72423;1
-0.381067,0.392019,0.392019;1.10232;0
0.95524,0.423012,0.423012;1.66296;1
-1.01774,0.642376,0.642376;-0.533215;0
0.942966,-0.741836,-0.741836;1.74885;0
0.790526,0.816698,0.816698;0.481534;0
-0.588464,-0.101509,-0.101509;2.08471;1
0.336514,0.709414,0.709414;-1.42845;0
-1.15967,-1.20875,-1.20875;1.07536;0
0.536577,1.72019,1.72019;0.598892;0
0.307729,-0.229269,-0.229269;0.165076;1
-0.589294,-0.935402,-0.935402;-0.354135;1
-2.5015,0.0466717,0.0466717;1.01214;1
0.718542,1.02559,1.02559;1.78492;1
-0.194288,-0.595307,-0.595307;-0.0130828;0
0.338223,0.642648,0.642648;0.326054;1
0.482308,1.23815,1.23815;-1.3361;0
-0.226642,0.286547,0.286547;-3.32754;1
0.281634,-0.14093,-0.14093;-1.26981;1
-0.0473608,1.09829,1.09829;2.75051;0
-0.945176,-1.37886,-1.37886;-0.207495;0
-1.72817,-0.976271,-0.976271;-1.43153;1
-0.246096,0.628994,0.628994;-0.0448869;0
-0.152371,-1.38002,-1.38002;-1.7762;1
-1.01005,-0.120311,-0.120311;-4.06955;0
0.895371,-0.895571,-0.895571;3.83473;0
-0.0467407,-0.377886,-0.377886;1.15476;0
-0.901593,2.20497,2.20497;-0.769214;0
0.549472,-1.12506,-1.12506;-0.857064;1
-1.32962,0.852244,0.852244;-0.408614;1
0.149077,-0.00491003,-0.00491003;-0.0241486;0
0.154977,0.701722,0.701722;0.465261;1
-0.21547,1.65538,1.65538;1.62502;1
0.166932,0.14177,0.14177;-1.40313;1
0.879628,1.49302,1.49302;2.7227;1
2.16038,-0.185071,-0.185071;2.97579;0
-0.0593129,0.0832762,0.0832762;1.26127;1
1.91334,-1.44797,-1.44797;2.80948;0
0.264344,-1.96499,-1.96499;-0.854881;1
-0.208478,0.377085,0.377085;-1.07269;0
-0.143144,0.876686,0.876686;1.19224;1
-1.56034,0.0446551,0.0446551;0.895166;1
-1.54891,1.25296,1.25296;-0.472929;0
0.852198,1.42258,1.42258;1.23866;0
-0.374749,-0.105188,-0.105188;2.1304;1
-1.24591,0.459966,0.459966;-4.10345;0
-2.16218,2.43826,2.43826;-2.33404;0
0.477172,-0.594869,-0.594869;-1.86731;1
1.0808,1.04376,1.04376;0.267169;1
-0.871299,-1.00911,-1.00911;-1.48844;1
0.305005,-0.178164,-0.178164;1.17389;0
-0.0748349,-2.3392,-2.3392;-0.622667;1
-0.0682334,-1.93283,-1.93283;-1.83312;1
0.3019,-0.930254,-0.930254;0.170827;0
-0.588547,-0.0297738,-0.0297738;1.12615;0
0.00785722,-1.63579,-1.63579;-2.28828;1
-0.363082,-1.65981,-1.65981;-1.81729;1
3.09925,1.68706,1.68706;4.34337;0
-0.950769,0.694916,0.694916;0.894909;1
0.903211,1.03059,1.03059;0.353318;1
-0.886208,-1.32135,-1.32135;-1.10336;1
-0.229931,0.963388,0.963388;1.22443;1
1.64518,-0.543687,-0.543687;0.0493989;1
0.409356,-0.692219,-0.692219;1.6688;1
-0.0700038,0.10783,0.10783;-0.935384;0
0.69258,0.447388,0.447388;-1.35053;1
1.18903,-0.290003,-0.290003;1.61527;0
1.76172,0.248692,0.248692;-1.19166;1
-0.0818569,-1.07734,-1.07734;-1.9523;0
-0.373431,-0.238383,-0.238383;0.310512;1
1.04431,-0.243558,-0.243558;-0.406012;0
-0.659516,0.0130404,0.0130404;1.52513;1
0.831831,-0.81982,-0.81982;-1.84574;0
0.197903,-0.607266,-0.607266;0.680222;0
-0.611517,0.535784,0.535784;-0.0682303;0
0.31017,-1.9426,-1.9426;-1.35451;0
-1.75436,0.928518,0.928518;1.64451;1
-0.254154,-0.995485,-0.995485;-0.62379;1
1.51431,0.18356,0.18356;0.143261;0
0.863549,-0.197235,-0.197235;2.21531;0
0.554386,-0.594971,-0.594971;-0.236207;0
0.534213,-1.09657,-1.09657;-1.13234;0
-0.796152,-0.300496,-0.300496;1.69699;0
0.0650068,0.0736761,0.0736761;1.37445;0
-0.351616,-1.5684,-1.5684;-4.18516;1
1.07271,0.463984,0.463984;2.24464;0
0.604623,-0.984984,-0.984984;-1.00644;1
0.839687,0.509118,0.509118;1.0008;0
-1.18875,-0.606009,-0.606009;-2.19967;1
-1.57587,-0.0132847,-0.0132847;-3.15372;0
-0.172682,-1.9347,-1.9347;0.10052;0
-0.360564,0.518821,0.518821;-1.16185;0
-0.469859,-0.138779,-0.138779;1.31199;1
