Q_Mean,P_Mean,Variance;Measured_real;Measured_imag
0.152296,0.198234,0.198234;-1.70272;0
0.817652,-1.38317,-1.38317;1.17658;1
0.431798,-0.194513,-0.194513;1.67698;0
-0.190108,-1.73657,-1.73657;-3.12319;0
-0.531095,0.421772,0.421772;2.84592;0
0.88746,1.45569,1.45569;0.206428;0
-0.898281,0.651459,0.651459;-1.87018;0
0.0303086,1.31806,1.31806;-1.18293;0
-0.294624,-0.516695,-0.516695;-2.35555;0
-0.683245,1.55033,1.55033;-0.675719;0
-1.01234,-0.0900577,-0.0900577;-0.782582;1
-0.99057,-0.0728123,-0.0728123;1.0474;1
1.45013,1.13795,1.13795;-0.169674;1
1.22209,0.342141,0.342141;2.82044;1
-0.552866,0.98142,0.98142;-0.152216;0
0.759208,-1.92119,-1.92119;-2.68139;1
-0.915075,-0.615472,-0.615472;-1.15656;0
0.255738,-0.199327,-0.199327;-3.71593;0
1.1674,0.643071,0.643071;1.94109;0
-0.231241,0.150179,0.150179;0.130142;1
-0.428112,-1.30075,-1.30075;0.113708;0
-0.684424,-0.337687,-0.337687;-1.36449;0
-0.530237,-0.359466,-0.359466;-0.517512;0
0.893905,0.260911,0.260911;0.909614;1
0.41746,1.04567,1.04567;0.668563;0
-0.534046,-0.711751,-0.711751;-0.56587;1
-1.28358,0.598589,0.598589;1.67882;1
-0.406543,-0.620476,-0.620476;0.76682;0
0.812183,0.0679157,0.0679157;2.1968;0
1.1023,0.990268,0.990268;0.913308;1
0.817172,-0.125278,-0.125278;0.503159;1
0.198763,-0.0472019,-0.0472019;0.560037;1
-0.416582,0.454107,0.454107;-0.425317;1
0.0922437,1.80793,1.80793;2.27217;1
1.41274,2.90129,2.90129;0.0652458;0
1.31876,-0.415162,-0.415162;0.0513357;1
0.574537,0.924301,0.924301;0.470288;1
0.723395,1.26322,1.26322;2.08784;1
0.105102,-1.22789,-1.22789;-0.560713;0
0.315446,1.09588,1.09588;0.0587017;0
0.840159,0.431312,0.431312;-0.79432;0
-0.174642,-1.44057,-1.44057;1.22531;0
1.05998,-0.262419,-0.262419;-0.98706;0
0.418334,-0.416779,-0.416779;-0.653101;1
0.34156,-0.100273,-0.100273;-0.284062;0
-0.0494797,0.0913451,0.0913451;-0.705386;1
0.375308,-0.0729541,-0.0729541;-0.519651;0
-0.0123057,-0.574782,-0.574782;-1.01956;1
-0.470403,1.49679,1.49679;2.40832;1
-0.675387,0.388633,0.388633;-0.0839387;1
0.750035,-0.359376,-0.359376;-0.562043;0
0.571519,-0.70994,-0.70994;-0.284811;0
-1.49608,0.932478,0.932478;-0.907044;0
-1.87746,0.795214,0.795214;-0.376451;0
-0.212636,0.340511,0.340511;-0.114706;0
1.03938,0.876658,0.876658;1.59612;0
-0.931536,0.271218,0.271218;0.480859;1
1.00209,0.944909,0.944909;1.40561;1
-1.71334,-0.180979,-0.180979;-2.62939;1
0.205827,-0.552112,-0.552112;0.202035;0
-0.603035,0.023884,0.023884;-0.415488;1
0.643871,-1.03856,-1.03856;0.59451;0
0.184296,1.20481,1.20481;-0.689113;1
0.979688,1.28144,1.28144;-0.0873321;0
-0.194573,-0.714911,-0.714911;-0.779676;0
0.420029,1.38887,1.38887;2.13457;1
0.711244,-0.1564,-0.1564;0.690299;1
0.14685,0.711323,0.711323;-1.65799;0
0.177435,-0.276722,-0.276722;2.1763;0
0.180386,0.945352,0.945352;-0.288185;1
-0.300958,-0.267764,-0.267764;-0.599997;1
-0.0656695,-0.438417,-0.438417;-2.06276;1
-0.1769,0.856686,0.856686;1.2354;1
0.0877812,-0.416357,-0.416357;-0.845325;0
-0.312695,-0.539986,-0.539986;-1.76281;1
0.389279,0.87454,0.87454;1.92167;0
-0.141272,0.682328,0.682328;2.13538;0
0.474142,0.417138,0.417138;0.345202;0
0.785372,-0.630969,-0.630969;-1.69289;0
0.186024,0.432086,0.432086;-0.885861;0
0.594796,0.345286,0.345286;0.0185788;0
0.116775,0.332386,0.332386;0.632309;1
0.355968,0.84966,0.84966;1.43041;0
1.04812,-0.620025,-0.620025;1.9949;0
1.62035,-1.21389,-1.21389;-3.9114;1
0.398424,0.940328,0.940328;2.21015;0
-2.0645,0.182371,0.182371;-4.80744;0
0.277244,-1.88305,-1.88305;-2.12583;1
1.68274,0.800897,0.800897;1.51638;0
1.03218,1.44771,1.44771;1.46499;0
1.23166,1.2538,1.2538;1.28384;1
-0.340015,-0.672078,-0.672078;-1.1832;0
-0.661004,1.02791,1.02791;-0.640977;0
-1.59121,0.312945,0.312945;0.266745;1
-0.695332,0.206888,0.206888;-0.403609;1
-0.36195,-0.139643,-0.139643;-3.97143;1
0.462783,-1.15107,-1.15107;1.53115;1
-0.833943,-0.764285,-0.764285;0.132488;0
-0.375431,0.0353434,0.0353434;-1.3734;0
0.830735,-2.30818,-2.30818;0.427119;0
0.944221,0.55828,0.55828;0.396925;1
1.5776,1.89043,1.89043;3.66894;1
-0.480378,-2.74672,-2.74672;-1.03197;0
0.690761,1.0997,1.0997;-0.119805;0
-0.826796,1.18671,1.18671;-0.657787;0
-0.837958,0.804021,0.804021;-1.99833;0
-0.664919,0.524969,0.524969;0.30302;1
0.638391,0.0153716,0.0153716;-0.345979;0
-0.43072,1.75376,1.75376;0.483606;0
-0.926765,1.56985,1.56985;2.37563;1
0.0391042,-1.09931,-1.09931;-0.248464;0
-0.04232,-0.0832836,-0.0832836;2.41859;0
-1.15491,0.759224,0.759224;1.63952;1
0.796553,-0.796429,-0.796429;0.607297;0
0.444653,0.527173,0.527173;0.384816;0
-0.474562,-0.460611,-0.460611;-0.952052;1
0.408824,-0.980238,-0.980238;1.14362;1
0.868697,-0.304938,-0.304938;-0.611624;0
-1.54791,-0.781698,-0.781698;-0.951186;1
-1.0728,1.73016,1.73016;-1.21934;0
0.77401,1.27834,1.27834;1.12703;0
1.13476,-0.0013177,-0.0013177;2.7737;0
-0.0411263,0.575317,0.575317;1.15791;1
0.0746366,0.786222,0.786222;0.189153;0
-0.677324,-1.10197,-1.10197;-1.03616;1
0.349924,0.219822,0.219822;1.77782;1
-0.691569,0.0261063,0.0261063;-0.410281;0
0.917288,1.976,1.976;1.57289;1
1.28534,-0.15075,-0.15075;0.813226;0
0.661699,0.88065,0.88065;0.844804;1
-0.604643,0.724686,0.724686;1.57417;1
-1.57033,1.27151,1.27151;-2.73448;0
-0.492375,0.473081,0.473081;-2.22408;1
-0.420743,0.437253,0.437253;-0.177743;1
1.38316,-2.22303,-2.22303;2.02683;0
-1.7586,-0.52457,-0.52457;-2.52797;0
-0.912465,-0.0379541,-0.0379541;-0.173875;0
0.298028,-0.365109,-0.365109;-1.30193;0
0.197283,-0.0919493,-0.0919493;-0.917057;0
-1.50872,-0.0038465,-0.0038465;0.44244;1
0.104287,-0.615816,-0.615816;1.30836;0
-1.03966,-0.537088,-0.537088;0.586136;1
-1.64232,0.35887,0.35887;1.72124;1
-0.168368,0.659679,0.659679;-1.59643;0
-0.895177,-0.417555,-0.417555;-0.707689;1
1.74358,0.682693,0.682693;1.22293;1
1.59755,-0.0513845,-0.0513845;1.83585;1
0.0127139,-0.233525,-0.233525;0.323048;1
0.397141,-0.460368,-0.460368;0.801545;1
0.752968,-1.3446,-1.3446;-2.58747;1
1.55216,-0.568768,-0.568768;1.44833;0
-0.240107,-0.415986,-0.415986;0.0148026;0
-1.20759,1.13648,1.13648;1.57758;1
-0.411857,0.730817,0.730817;-0.377037;1
-0.812759,0.346509,0.346509;0.30391;1
0.90598,2.02331,2.02331;3.5358;1
0.516664,0.454601,0.454601;0.902052;1
0.669968,-0.200927,-0.200927;-0.751564;1
-0.096965,-1.12287,-1.12287;0.331058;0
-1.37346,-0.391615,-0.391615;-0.592419;1
0.770969,-0.200923,-0.200923;1.45585;0
1.51152,1.82834,1.82834;1.88396;1
-1.47902,0.325706,0.325706;-0.88825;1
-1.02637,0.695075,0.695075;-1.33546;1
-1.16574,-0.283168,-0.283168;-0.211869;1
0.217303,0.896343,0.896343;0.403641;0
-1.04048,-2.57716,-2.57716;-3.27428;1
-0.749605,0.97279,0.97279;-2.20186;0
-0.830327,-0.0375607,-0.0375607;-2.7413;0
0.527451,0.439032,0.439032;1.40091;0
1.19491,-0.260693,-0.260693;0.814768;1
-0.327217,1.2415,1.2415;-0.5225;1
-1.24395,-1.04419,-1.04419;-1.07681;1
1.53954,0.275546,0.275546;3.472;0
-0.213258,0.234028,0.234028;0.278235;0
-0.591734,0.329824,0.329824;-2.2158;0
-0.675567,0.619339,0.619339;1.43657;1
-0.98572,0.647368,0.647368;-1.37915;1
-0.17809,-1.73964,-1.73964;-0.0567345;0
0.696863,0.629937,0.629937;-0.284412;1
-0.392573,0.0039536,0.0039536;-0.857913;1
0.297327,0.706973,0.706973;0.309064;0
0.767089,-0.107339,-0.107339;1.88025;1
-0.904607,-0.770157,-0.770157;0.736033;1
1.44205,-0.174342,-0.174342;1.47381;0
-0.0598038,0.550321,0.550321;1.34294;1
-1.46785,1.18666,1.18666;0.0315642;0
-0.131766,-1.20309,-1.20309;-1.45621;0
0.0507105,0.446388,0.446388;0.627911;1
-0.321481,-1.40335,-1.40335;-0.124708;1
-0.262014,1.59055,1.59055;3.04015;1
-0.193721,0.157922,0.157922;-0.958449;0
0.214121,-0.32105,-0.32105;0.686479;1
0.317142,-0.758854,-0.758854;-0.874914;1
-0.05602,-1.01328,-1.01328;-0.61462;1
0.642044,-1.08705,-1.08705;0.150364;0
-0.180158,-0.506822,-0.506822;1.94657;1
0.275233,-0.172039,-0.172039;0.511591;0
0.226326,-0.0276665,-0.0276665;-0.0891334;0
1.34854,0.723956,0.723956;0.917736;0
0.791871,1.47974,1.47974;-2.53627;0
1.29015,-0.301479,-0.301479;-0.729099;1
-0.859413,-0.294897,-0.294897;0.246079;1
0.760143,0.711846,0.711846;0.112166;0
-0.747567,0.706792,0.706792;-0.939161;0
-0.893354,0.192503,0.192503;0.417184;0
0.498137,0.399641,0.399641;-0.47591;1
0.888087,-0.617297,-0.617297;0.33393;0
0.0407833,2.31955,2.31955;2.58177;1
1.21731,0.299715,0.299715;0.187921;1
1.70859,-1.04036,-1.04036;1.73655;0
0.125613,0.116438,0.116438;0.590263;0
1.09411,2.11224,2.11224;1.76106;1
0.249227,-0.540149,-0.540149;-3.91309;1
0.32382,-1.30256,-1.30256;-0.769344;1
3.05247,0.966171,0.966171;1.21774;0
1.53283,0.594612,0.594612;1.27748;1
-0.794848,2.18202,2.18202;3.96699;1
-1.70267,0.580615,0.580615;-3.09588;0
0.135768,1.76999,1.76999;-0.508034;0
-0.437678,0.64531,0.64531;0.861861;0
-0.144625,1.1781,1.1781;-2.56014;0
0.205639,1.97436,1.97436;2.36068;1
0.786887,-0.586161,-0.586161;0.609158;1
1.4945,-0.185359,-0.185359;-1.95594;1
-0.266822,-2.03817,-2.03817;-1.97576;0
0.337906,-1.08764,-1.08764;-0.945082;0
-0.260255,1.05871,1.05871;1.74925;1
-1.60496,-1.00337,-1.00337;-3.32957;1
0.509412,-0.0546763,-0.0546763;1.05708;0
-0.0728652,0.232933,0.232933;1.57797;0
-0.284901,-0.705746,-0.705746;3.95949;0
0.644302,-0.47466,-0.47466;0.150658;0
0.429402,0.301464,0.301464;-1.16588;0
-0.109308,0.177464,0.177464;0.48388;1
0.230007,-0.304344,-0.304344;-1.8691;1
-0.924689,0.388362,0.388362;1.25463;0
1.45336,0.474911,0.474911;0.792125;0
0.264531,-2.41734,-2.41734;-1.5086;1
-1.12788,0.0249318,0.0249318;-0.346083;1
-1.81301,-0.360248,-0.360248;1.50468;1
-1.29727,0.0697872,0.0697872;-1.03774;0
0.199212,0.151735,0.151735;-0.44698;1
0.456357,0.0546064,0.0546064;-0.909312;1
2.828,-1.23996,-1.23996;1.26689;0
-1.39788,0.679813,0.679813;2.27806;1
-0.499823,0.697838,0.697838;0.183572;1
-0.099866,-0.574618,-0.574618;-0.701373;0
0.0326745,0.268002,0.268002;0.74909;1
0.37785,-0.116986,-0.116986;-0.836375;1
-0.531565,-0.187133,-0.187133;2.90904;1
-0.269172,-0.748834,-0.748834;-0.18889;1
-0.245229,-0.92708,-0.92708;-1.87338;0
0.940954,0.116033,0.116033;1.48855;0
0.587065,-0.178242,-0.178242;0.482775;1
0.75368,0.915767,0.915767;2.43738;1
-1.00902,-1.86645,-1.86645;0.469099;0
-0.568429,-0.177966,-0.177966;-1.04994;0
1.02378,-0.422463,-0.422463;1.43732;0
-1.20632,-1.20597,-1.20597;-0.195887;1
0.291891,-0.591844,-0.591844;-0.23587;0
-0.659848,1.55775,1.55775;0.574131;0
1.27302,-0.166123,-0.166123;1.15615;1
0.0746542,0.227993,0.227993;2.51288;0
1.19701,-0.255299,-0.255299;-0.636314;0
-0.747999,-0.25239,-0.25239;-0.440671;0
0.936367,-1.10221,-1.10221;2.55917;0
0.147102,1.11427,1.11427;1.83211;0
-0.650815,0.581541,0.581541;-0.78866;0
0.477791,0.96606,0.96606;-0.215928;0
0.516246,0.692704,0.692704;0.639992;1
1.04697,0.65914,0.65914;0.701086;1
0.39942,1.31697,1.31697;1.78809;1
0.21091,-0.11558,-0.11558;-0.355847;0
-0.578929,0.580028,0.580028;0.275915;1
-0.38468,1.01198,1.01198;-0.993678;0
1.17486,-0.604401,-0.604401;0.96553;1
0.446568,0.847337,0.847337;0.407671;0
0.575071,1.03452,1.03452;1.38476;1
-0.810895,0.608298,0.608298;0.179018;1
-1.1359,-2.63848,-2.63848;-2.32047;1
-0.714702,-0.110874,-0.110874;-3.05016;0
1.95413,1.0036,1.0036;1.7295;0
-0.296307,-0.976447,-0.976447;1.26696;0
1.22681,0.134525,0.134525;-0.156922;1
0.254759,0.0377524,0.0377524;-1.73678;1
-1.11583,0.106973,0.106973;-0.664283;0
-1.17655,0.855988,0.855988;-0.914894;0
-1.1967,1.52807,1.52807;1.15202;1
-0.897547,-1.38084,-1.38084;-0.404849;1
-0.458928,-0.963454,-0.963454;0.495071;1
0.529691,0.743242,0.743242;1.25959;0
0.00399313,-0.313413,-0.313413;1.20267;1
-0.184686,-0.109459,-0.109459;-1.42089;1
1.20347,2.36191,2.36191;-0.0554437;0
0.0214156,0.655888,0.655888;0.875243;1
-0.269526,0.338366,0.338366;-0.510933;0
-1.25494,-1.5217,-1.5217;-1.32267;1
0.585868,-2.51772,-2.51772;-2.72183;1
0.293442,1.16025,1.16025;-0.031038;0
0.20405,-0.100937,-0.100937;1.51261;1
-0.62734,1.47969,1.47969;2.60446;1
-0.766201,0.342596,0.342596;0.444579;1
-1.56956,0.83245,0.83245;-0.132754;0
-0.678633,0.954527,0.954527;0.773833;1
0.267671,0.897508,0.897508;-2.27913;0
0.397713,0.827477,0.827477;2.07433;0
0.0448377,-0.264801,-0.264801;-1.23895;1
0.106718,0.841721,0.841721;-1.60881;0
-1.13039,1.00377,1.00377;-0.738881;0
0.787635,-0.541631,-0.541631;1.41014;0
0.72082,-0.0344803,-0.0344803;-0.384997;1
-1.21492,-0.461888,-0.461888;0.768743;1
1.83374,-0.180675,-0.180675;-0.303865;0
-0.183978,0.115756,0.115756;-0.757804;0
-0.432237,0.801716,0.801716;0.986965;1
0.568647,0.709537,0.709537;1.39272;0
1.68141,-1.58437,-1.58437;0.874162;0
-0.775489,-1.81896,-1.81896;-0.990298;1
-0.223304,0.462828,0.462828;0.755789;0
1.33048,0.449621,0.449621;3.08482;0
0.493323,1.10592,1.10592;2.85006;1
-1.34451,0.361473,0.361473;-0.555507;0
-0.28674,1.55117,1.55117;-0.419259;0
-0.192043,0.357966,0.357966;0.214114;1
1.76088,-0.749036,-0.749036;1.66295;1
-1.0005,0.568969,0.568969;1.20634;1
0.532232,-0.467589,-0.467589;0.289035;0
0.225363,1.2418,1.2418;-0.770506;1
-0.981836,-1.64399,-1.64399;-1.02026;0
-0.809757,0.47932,0.47932;-3.05836;0
1.12369,-1.54816,-1.54816;-1.01113;1
-0.108202,-0.151686,-0.151686;-1.67305;1
0.29026,0.270963,0.270963;0.54077;1
1.46544,-0.881804,-0.881804;-0.337981;0
0.318937,-0.444955,-0.444955;-0.392967;1
1.28498,1.07962,1.07962;1.65814;1
0.710886,-0.15664,-0.15664;-2.28714;1
-0.734399,-1.17874,-1.17874;-0.269601;0
-0.139429,0.354808,0.354808;0.681171;1
0.960201,-0.176198,-0.176198;1.0034;0
0.47425,1.17015,1.17015;0.423035;0
0.49801,-1.01651,-1.01651;0.696479;0
-0.246263,-0.405801,-0.405801;0.422845;1
0.486566,-0.11927,-0.11927;-1.81243;1
1.10695,2.51685,2.51685;2.70108;0
0.565152,-2.2849,-2.2849;-0.360824;0
0.563774,-0.614559,-0.614559;1.31744;0
-0.71979,0.177395,0.177395;0.404059;0
0.395113,-2.56445,-2.56445;-3.63438;1
1.59234,-1.47084,-1.47084;-3.86599;1
-0.509174,0.818612,0.818612;0.380614;0
-0.472343,-0.946633,-0.946633;1.48473;1
0.25037,0.430415,0.430415;-0.576152;1
-1.76088,-0.393012,-0.393012;-4.01906;0
0.745099,0.611593,0.611593;1.4044;0
1.31929,-0.863,-0.863;-1.6525;1
0.243152,1.06403,1.06403;-2.24189;0
0.434683,-1.3865,-1.3865;0.696186;0
0.0671465,0.293406,0.293406;0.827044;0
0.488208,-0.770662,-0.770662;1.31147;0
-1.34502,-1.01734,-1.01734;-1.56924;0
-1.17066,0.201154,0.201154;1.52282;1
0.005656,-0.249844,-0.249844;0.00637599;0
0.717373,-0.937975,-0.937975;0.982844;0
-0.430434,0.73982,0.73982;-0.89749;0
-0.372156,0.941123,0.941123;0.574965;1
-1.10393,1.2884,1.2884;-0.239966;1
0.604817,-0.370886,-0.370886;-2.31421;1
-0.558837,-1.29743,-1.29743;-2.14813;1
-0.701299,-0.881993,-0.881993;-0.917105;1
0.676156,-0.21673,-0.21673;0.693884;1
-1.42764,-0.670524,-0.670524;-2.71373;0
-0.00632129,-0.933827,-0.933827;1.24499;1
-1.71135,-0.59306,-0.59306;-0.931553;1
-0.663358,-1.82475,-1.82475;-1.93922;1
-0.317807,-2.35828,-2.35828;-0.803153;0
-0.357584,0.130731,0.130731;0.198975;1
0.320343,-1.50273,-1.50273;-0.169147;1
-0.654609,-0.776252,-0.776252;-1.48044;1
-1.69936,-0.218136,-0.218136;1.33284;1
1.03663,0.694628,0.694628;-0.0010125;0
-0.555169,0.922378,0.922378;3.54831;1
-1.81609,-1.26254,-1.26254;0.684793;1
0.498325,0.245304,0.245304;1.98404;1
0.158467,0.671652,0.671652;2.31602;1
1.13109,-0.94956,-0.94956;2.93735;0
-1.51729,-0.202308,-0.202308;-0.219125;0
0.43766,-0.0406412,-0.0406412;0.126771;0
0.0313724,-0.878633,-0.878633;-0.554566;0
-0.512566,0.167581,0.167581;-1.01734;0
-0.160772,-0.198176,-0.198176;1.75795;1
0.0263111,-0.495263,-0.495263;-0.193691;0
-0.620619,-0.242098,-0.242098;-2.11002;1
-2.38077,0.696642,0.696642;-3.12291;0
0.76435,0.687012,0.687012;-0.645633;0
1.19095,0.668709,0.668709;-0.212906;1
-0.361878,0.818241,0.818241;2.44484;1
-0.185636,0.876137,0.876137;0.553723;0
-0.0891706,0.790223,0.790223;2.10212;0
-0.286901,-0.949365,-0.949365;-0.989895;0
-0.615028,0.951429,0.951429;-0.905781;0
0.239474,0.138871,0.138871;-0.710754;0
0.5893,-1.35825,-1.35825;-1.03145;1
-0.274542,-0.48694,-0.48694;-2.05111;0
-0.255614,-0.157418,-0.157418;0.0840078;0
0.17807,0.374484,0.374484;0.565367;0
1.04853,-0.856049,-0.856049;0.991998;0
-0.7062,-1.51879,-1.51879;-3.32974;1
1.2641,0.37635,0.37635;-1.78894;1
1.21703,-1.78093,-1.78093;0.578801;0
1.16757,0.326828,0.326828;0.819881;0
0.335763,0.985411,0.985411;-1.5841;1
2.35165,0.040049,0.040049;-1.07336;0
1.17213,-0.220976,-0.220976;3.50544;0
0.433194,0.114491,0.114491;0.0910178;1
-0.153922,1.28144,1.28144;-1.27746;0
0.0307456,-0.516912,-0.516912;0.200547;0
1.92918,1.16716,1.16716;1.56627;1
-0.624908,-0.487971,-0.487971;-1.41273;0
-0.952485,-0.16267,-0.16267;-1.11381;0
0.131787,-1.42376,-1.42376;-0.679847;1
-0.921996,1.63099,1.63099;-1.02141;1
-0.0933259,0.37678,0.37678;1.35871;1
1.68433,-0.344835,-0.344835;-1.67572;1
1.61771,0.225823,0.225823;2.11819;0
-0.130017,0.822179,0.822179;0.546167;0
1.86823,0.679298,0.679298;0.687195;1
-0.17527,-0.990871,-0.990871;0.10533;1
-1.23357,0.532486,0.532486;1.37922;1
-0.207265,-1.53066,-1.53066;0.602566;0
-0.406878,0.134319,0.134319;0.206211;1
0.482005,0.0840971,0.0840971;-0.106472;0
0.592946,0.437879,0.437879;-2.5558;0
0.235981,-0.932254,-0.932254;-1.24089;0
-0.448363,-0.815195,-0.815195;-3.23987;1
0.375443,-0.0944779,-0.0944779;1.9271;0
1.16123,0.932723,0.932723;0.083762;0
-0.0362137,-0.0094056,-0.0094056;-0.206822;1
1.31807,-0.371312,-0.371312;0.520645;1
-1.5518,2.47142,2.47142;1.31442;1
0.107189,1.32282,1.32282;-0.932004;0
0.264056,0.928913,0.928913;-1.13293;1
-0.827235,-0.75406,-0.75406;-2.76665;0
0.947117,-0.664394,-0.664394;0.450858;1
-1.22279,-1.27003,-1.27003;0.151831;0
-0.881323,-1.46801,-1.46801;-0.922051;0
-0.765217,0.217102,0.217102;0.0249414;1
-1.06906,0.0906883,0.0906883;-0.0649963;1
1.20829,1.19829,1.19829;-0.501929;1
0.0566324,-1.9086,-1.9086;-3.96535;1
0.657008,0.359806,0.359806;0.541931;1
1.4999,-0.0922595,-0.0922595;-1.48799;1
1.12988,0.0317353,0.0317353;-1.18743;0
1.27761,1.11837,1.11837;0.0262592;0
1.15282,1.24497,1.24497;-0.240781;1
1.00184,-0.183864,-0.183864;-0.196501;0
0.81308,-0.655294,-0.655294;-1.16919;1
-0.616857,0.574921,0.574921;-0.227553;0
0.88312,-0.668077,-0.668077;-2.50968;1
1.02711,-0.487965,-0.487965;-1.00688;1
-1.02339,0.823423,0.823423;0.537796;1
-0.420498,-1.91606,-1.91606;-0.662673;0
1.2898,-0.560346,-0.560346;2.95127;0
0.268514,0.521739,0.521739;0.667694;0
0.63372,1.45765,1.45765;-1.66063;0
1.28487,-0.568792,-0.568792;-0.360859;1
1.08305,-1.46276,-1.46276;0.0920037;1
0.543665,2.01744,2.01744;3.46657;1
0.510859,-0.61205,-0.61205;0.641109;1
0.518382,0.37158,0.37158;0.943022;0
-0.502698,0.64982,0.64982;1.89168;1
-0.922157,-0.260467,-0.260467;-1.25948;0
1.57867,-0.250758,-0.250758;3.18875;0
0.0448775,-0.770636,-0.770636;-1.74718;1
-0.144327,-0.497176,-0.497176;-0.186347;0
0.127085,-0.459405,-0.459405;-1.97297;0
-0.0536855,-0.638157,-0.638157;0.891527;0
-0.684924,-1.42807,-1.42807;-2.66164;1
-0.194307,-0.379849,-0.379849;-0.101953;0
-0.907076,-1.32754,-1.32754;0.380098;1
-0.498537,-0.816741,-0.816741;-1.36329;0
-0.598238,-0.19365,-0.19365;-1.17003;0
-0.194367,-0.504789,-0.504789;-1.37327;1
1.00822,-0.523237,-0.523237;0.0749794;0
-1.05999,-0.374683,-0.374683;-2.52657;0
1.61716,1.42694,1.42694;2.36814;0
-0.910453,1.14896,1.14896;-4.08052;0
-0.620876,0.88974,0.88974;-2.79048;0
0.192934,-0.00943971,-0.00943971;0.0792008;1
0.948508,-0.667971,-0.667971;1.72602;0
0.28433,-2.21692,-2.21692;-0.72276;1
0.645855,0.23964,0.23964;0.908152;1
0.680772,-0.852426,-0.852426;1.86343;1
-0.28125,-1.0158,-1.0158;0.403537;0
-1.06687,0.30899,0.30899;-0.692889;0
-0.32406,1.8862,1.8862;3.10448;1
-0.827827,0.808052,0.808052;-0.623365;1
-1.24344,0.370687,0.370687;-1.75709;0
1.03248,-1.00775,-1.00775;2.9747;0
0.422774,-0.641318,-0.641318;1.07781;1
-0.236821,0.217862,0.217862;0.24555;0
-2.17561,0.482092,0.482092;0.718616;1
-0.105892,-1.59719,-1.59719;1.86361;0
0.260799,-0.997651,-0.997651;-0.878757;0
-0.824339,-2.15997,-2.15997;-0.537607;1
-0.0118601,0.0685229,0.0685229;1.4317;0
0.194773,-0.114149,-0.114149;-0.999119;0
-0.252401,-0.949886,-0.949886;-2.25716;0
-0.789724,0.172606,0.172606;-0.479145;1
1.01193,0.808863,0.808863;1.35459;0
1.2915,0.579789,0.579789;-1.91443;1
-0.936986,-0.387008,-0.387008;-0.613273;0
0.048344,0.0567284,0.0567284;-0.0525574;0
0.560079,-0.187569,-0.187569;4.04601;1
0.559376,-1.82376,-1.82376;-2.13163;1
-0.664956,0.129685,0.129685;-0.433025;0
0.879409,-0.821235,-0.821235;1.86861;0
-0.609404,-0.371324,-0.371324;0.322017;1
0.64221,0.165603,0.165603;-0.93782;0
-0.731341,-0.434717,-0.434717;-2.08926;0
0.638228,-0.429214,-0.429214;-1.04647;1
0.016952,-0.331106,-0.331106;0.0512883;1
-0.164905,0.636726,0.636726;0.999744;1
-0.649463,-1.4532,-1.4532;-1.97528;1
0.0998093,-0.388139,-0.388139;-1.43143;1
1.48545,-1.32507,-1.32507;-1.03861;1
-0.328809,-1.85629,-1.85629;0.112672;1
-0.0405351,-0.942644,-0.942644;1.53052;0
0.59172,0.455287,0.455287;0.115221;1
-3.339,2.05685,2.05685;-3.28643;0
0.528438,-0.886278,-0.886278;-2.69529;1
0.439946,0.902863,0.902863;0.614491;0
-1.12535,0.124667,0.124667;-1.56483;1
1.33308,0.279354,0.279354;2.53446;0
-0.367808,0.023173,0.023173;-0.0476472;0
0.00346696,-0.42209,-0.42209;-1.1388;1
1.68958,0.750577,0.750577;-0.242957;1
1.05906,-0.137643,-0.137643;-0.0451582;0
-0.434379,-0.357434,-0.357434;-4.08862;1
-0.236328,-0.396325,-0.396325;0.79205;1
1.74242,-0.992171,-0.992171;-0.941614;1
-0.638597,0.15591,0.15591;-3.50628;1
1.09648,-0.170047,-0.170047;-1.31943;1
2.47306,-0.616541,-0.616541;-0.916126;1
0.134656,0.910853,0.910853;0.793187;1
0.618953,-1.19365,-1.19365;-2.02588;1
0.836246,-0.372581,-0.372581;1.00588;0
-0.77834,-2.05405,-2.05405;2.51821;0
-0.168066,0.0554161,0.0554161;0.523956;1
-0.42575,-0.0638244,-0.0638244;1.53726;1
-0.563065,-0.379207,-0.379207;-0.8966;1
0.765734,0.85501,0.85501;0.324365;1
0.254235,0.289634,0.289634;0.413116;1
0.916485,-0.520426,-0.520426;2.38639;1
-0.59668,1.54487,1.54487;-0.0671852;0
1.0688,0.28269,0.28269;1.98219;0
-0.227371,0.545798,0.545798;-0.277956;1
0.822943,-0.486626,-0.486626;0.276616;1
-0.376192,0.66244,0.66244;0.81952;1
1.43522,-0.499187,-0.499187;1.49925;0
-0.820888,-0.437665,-0.437665;-0.297361;1
-1.0585,-0.985382,-0.985382;-0.545949;1
-0.957841,0.158238,0.158238;-1.7731;1
-0.456938,0.188854,0.188854;0.882651;0
-0.823758,0.213525,0.213525;1.73814;0
-2.68059,-0.115591,-0.115591;1.05144;1
1.51199,1.60137,1.60137;1.46984;1
-3.46563,0.498216,0.498216;1.19599;1
0.527135,-0.0781742,-0.0781742;2.29373;0
-1.69789,-0.866735,-0.866735;-0.506587;0
0.195738,1.93711,1.93711;0.638656;1
0.818409,-1.38212,-1.38212;-3.39271;1
-2.3189,0.505056,0.505056;-3.35714;0
-2.22433,1.18791,1.18791;-3.16287;0
0.780803,-1.35244,-1.35244;-4.18149;1
1.79914,0.262087,0.262087;0.416075;0
